id,code,title_ko,COMM,RESP,PROB,GROW,STRE,ADAP,representative_job
250,5222,선박 및 열차 객실 승무원,4,3,3,3,3,3,기타전문직
251,523,숙박시설 서비스원,4,3,3,3,3,3,기타전문직
252,5230,숙박시설 서비스 종사원,4,3,3,3,3,3,기타전문직
253,524,오락시설 서비스원,4,3,3,3,3,3,기타전문직
254,5240,오락시설 서비스 종사원,4,3,3,3,3,3,기타전문직
255,53,음식 서비스직,4,3,3,3,3,3,기타전문직
256,531,주방장 및 조리사,3,3,3,3,3,3,기타전문직
257,5311,주방장 및 요리 연구가,3,3,5,4,3,3,연구원(R&D)
258,5312,한식 조리사,3,3,3,3,3,3,기타전문직
259,5313,중식 조리사,3,3,3,3,3,3,기타전문직
260,5314,양식 조리사,3,3,3,3,3,3,기타전문직
261,5315,일식 조리사,3,3,3,3,3,3,기타전문직
262,5316,바텐더,3,3,3,3,3,3,기타전문직
263,5317,음료 조리원,3,3,3,3,3,3,기타전문직
264,5318,단체급식 조리사,3,3,3,3,3,3,기타전문직
265,5319,기타 조리사,3,3,3,3,3,3,기타전문직
266,532,식당 서비스원,4,3,3,3,3,3,기타전문직
267,5321,패스트푸드 준비원,3,3,3,3,3,3,기타전문직
268,5322,식음료 서비스 종사원,4,3,3,3,3,3,기타전문직
269,5323,주방 보조원,3,3,3,3,3,3,기타전문직
270,5329,기타 식음료 서비스 종사원,4,3,3,3,3,3,기타전문직
271,54,경호·경비직,3,3,3,3,3,3,기타전문직
272,541,경호·보안 종사자,3,3,4,3,3,3,정보보안 전문가
273,5411,경호원,3,3,3,3,3,3,기타전문직
274,5412,청원경찰,3,3,3,3,4,3,경찰·소방·교정
275,5413,시설 및 특수 경비원,3,3,3,3,3,3,기타전문직
276,5414,보안 관제원,3,3,4,3,3,3,정보보안 전문가
277,5419,기타 경호 및 보안 관련,3,3,4,3,3,3,정보보안 전문가
278,542,경비원,3,3,3,3,3,3,기타전문직
279,5420,건물 관리원,3,3,3,3,3,3,기타전문직
280,55,돌봄 서비스직,4,3,3,3,3,3,기타전문직
281,550,돌봄 서비스 종사자,4,3,3,3,3,3,기타전문직
282,5501,요양보호사,3,3,3,3,3,3,기타전문직
283,5502,간병인,3,3,3,3,3,3,기타전문직
284,5503,노인 돌봄 종사원,3,3,3,3,3,3,기타전문직
285,5504,장애인 돌봄 종사원,3,3,3,3,3,3,기타전문직
286,5505,육아 도우미,3,3,3,3,3,3,기타전문직
287,56,청소 및 기타 개인서비스직,4,3,3,3,3,3,기타전문직
288,561,청소 종사자,3,3,3,3,3,3,기타전문직
289,5611,건물 청소원,3,3,3,3,3,3,기타전문직
290,5612,운송 및 시설장비 청소원,3,3,3,3,3,3,기타전문직
291,5613,거리 및 공공장소 청소원,3,3,3,3,3,3,기타전문직
292,5614,재활용품 및 쓰레기 수거원,3,3,3,3,3,3,기타전문직
293,5619,기타 청소 관련 종사원,3,3,3,3,3,3,기타전문직
294,562,세정원 및 방역원,3,3,3,3,3,3,기타전문직
295,5621,세정원,3,3,3,3,3,3,기타전문직
296,5622,방역원,3,3,3,3,3,3,기타전문직
297,563,가사 서비스원,4,3,3,3,3,3,기타전문직
298,5631,구두 미화원,3,3,3,3,3,3,기타전문직
299,5632,세탁원 및 다림질원,3,3,3,3,3,3,기타전문직
300,5633,가사 도우미,3,3,3,3,3,3,기타전문직
301,564,검침·주차관리 및 기타 서비스,4,3,3,3,3,3,기타전문직
302,5641,계기 검침원 및 가스 점검원,3,4,3,3,3,3,기타전문직
303,5642,자동판매기 관리원,4,3,3,3,3,3,영업·판매
304,5643,주차 관리원 및 안내원,3,3,3,3,3,3,기타전문직
305,5644,검표원,3,3,3,3,3,3,기타전문직
306,5645,대여 제품 방문 점검원,3,4,3,3,3,3,기타전문직
307,5649,기타 서비스 관련 단순 종사원,4,3,3,3,3,3,기타전문직
308,61,영업·판매직,4,3,3,3,3,4,영업·판매
309,611,부동산 컨설턴트 및 중개사,4,3,3,3,3,4,기타전문직
310,6110,부동산 컨설턴트 및 중개사,4,3,3,3,3,4,기타전문직
311,612,기술·해외 영업원 및,4,3,3,3,3,4,영업·판매
312,6121,기술 영업원,4,3,3,3,3,4,영업·판매
313,6122,해외 영업원,4,3,3,3,3,4,영업·판매
314,6123,상품중개인 및 경매사,3,3,3,3,3,3,기타전문직
315,6129,기타 기술 영업 및 중개 관련,4,3,3,3,3,4,영업·판매
316,613,자동차 및 제품 영업원,4,3,3,3,3,4,영업·판매
317,6131,자동차 영업원,4,3,3,3,3,4,영업·판매
318,6132,제품 영업원,4,3,3,3,3,4,영업·판매
319,6139,기타 영업원,4,3,3,3,3,4,영업·판매
320,614,텔레마케터,3,3,3,3,3,3,기타전문직
